GEO_ID,NAME,housing_units,vacant_units,owner_units,renter_units
1400000US36005024100,"Census Tract 241, Bronx County, New York",2119,161,65,1893
1400000US36005024300,"Census Tract 243, Bronx County, New York",2068,64,72,1932
1400000US36005024400,"Census Tract 244, Bronx County, New York",865,60,342,463
1400000US36005024501,"Census Tract 245.01, Bronx County, New York",1566,90,57,1419
1400000US36005024502,"Census Tract 245.02, Bronx County, New York",1232,30,37,1165
1400000US36005024600,"Census Tract 246, Bronx County, New York",768,43,359,366
1400000US36005024700,"Census Tract 247, Bronx County, New York",784,15,38,731
1400000US36005024800,"Census Tract 248, Bronx County, New York",1189,89,292,808
1400000US36005024900,"Census Tract 249, Bronx County, New York",0,0,0,0
1400000US36005025000,"Census Tract 250, Bronx County, New York",1022,42,522,458
1400000US36005025100,"Census Tract 251, Bronx County, New York",2256,100,293,1863
1400000US36005025200,"Census Tract 252, Bronx County, New York",1006,91,406,509
1400000US36005025300,"Census Tract 253, Bronx County, New York",2093,68,101,1924
1400000US36005025400,"Census Tract 254, Bronx County, New York",837,59,374,404
1400000US36005025500,"Census Tract 255, Bronx County, New York",2291,0,96,2195
1400000US36005025600,"Census Tract 256, Bronx County, New York",693,71,202,420
1400000US36005025700,"Census Tract 257, Bronx County, New York",721,30,39,652
1400000US36005026100,"Census Tract 261, Bronx County, New York",1060,55,778,227
1400000US36005026300,"Census Tract 263, Bronx County, New York",2469,87,119,2263
1400000US36005026400,"Census Tract 264, Bronx County, New York",2124,216,887,1021
1400000US36005026500,"Census Tract 265, Bronx County, New York",2257,109,50,2098
1400000US36005026601,"Census Tract 266.01, Bronx County, New York",1421,35,369,1017
1400000US36005026602,"Census Tract 266.02, Bronx County, New York",2620,188,584,1848
1400000US36005026701,"Census Tract 267.01, Bronx County, New York",1402,83,35,1284
1400000US36005026702,"Census Tract 267.02, Bronx County, New York",2577,36,122,2419
1400000US36005026900,"Census Tract 269, Bronx County, New York",1494,142,155,1197
1400000US36005027300,"Census Tract 273, Bronx County, New York",2848,164,266,2418
1400000US36005027401,"Census Tract 274.01, Bronx County, New York",1840,111,1253,476
1400000US36005027402,"Census Tract 274.02, Bronx County, New York",1358,26,797,535
1400000US36005027600,"Census Tract 276, Bronx County, New York",4,0,0,4
1400000US36005027700,"Census Tract 277, Bronx County, New York",1840,106,144,1590
1400000US36005027900,"Census Tract 279, Bronx County, New York",2858,214,829,1815
1400000US36005028100,"Census Tract 281, Bronx County, New York",1765,54,1055,656
1400000US36005028300,"Census Tract 283, Bronx County, New York",1136,42,80,1014
1400000US36005028400,"Census Tract 284, Bronx County, New York",21,0,4,17
1400000US36005028500,"Census Tract 285, Bronx County, New York",1662,63,298,1301
1400000US36005028600,"Census Tract 286, Bronx County, New York",470,12,236,222
1400000US36005028700,"Census Tract 287, Bronx County, New York",1265,23,287,955
1400000US36005028800,"Census Tract 288, Bronx County, New York",1208,75,623,510
1400000US36005028900,"Census Tract 289, Bronx County, New York",1954,77,223,1654
1400000US36005029301,"Census Tract 293.01, Bronx County, New York",952,58,740,154
1400000US36005029302,"Census Tract 293.02, Bronx County, New York",2741,17,1585,1139
1400000US36005029500,"Census Tract 295, Bronx County, New York",2108,106,837,1165
1400000US36005029600,"Census Tract 296, Bronx County, New York",738,40,121,577
1400000US36005029700,"Census Tract 297, Bronx County, New York",1761,98,917,746
1400000US36005030000,"Census Tract 300, Bronx County, New York",2739,137,691,1911
1400000US36005030100,"Census Tract 301, Bronx County, New York",578,32,332,214
1400000US36005030200,"Census Tract 302, Bronx County, New York",4221,66,2143,2012
1400000US36005030701,"Census Tract 307.01, Bronx County, New York",2774,260,1056,1458
1400000US36005030900,"Census Tract 309, Bronx County, New York",1386,89,723,574
1400000US36005031000,"Census Tract 310, Bronx County, New York",1279,18,993,268
1400000US36005031200,"Census Tract 312, Bronx County, New York",605,0,412,193
1400000US36005031400,"Census Tract 314, Bronx County, New York",672,26,444,202
1400000US36005031600,"Census Tract 316, Bronx County, New York",680,41,356,283
1400000US36005031800,"Census Tract 318, Bronx County, New York",639,63,305,271
1400000US36005031900,"Census Tract 319, Bronx County, New York",0,0,0,0
1400000US36005032300,"Census Tract 323, Bronx County, New York",2757,359,1348,1050
1400000US36005032400,"Census Tract 324, Bronx County, New York",1306,48,147,1111
1400000US36005032600,"Census Tract 326, Bronx County, New York",1124,61,555,508
1400000US36005032800,"Census Tract 328, Bronx County, New York",1482,53,254,1175
1400000US36005033000,"Census Tract 330, Bronx County, New York",2238,109,105,2024
1400000US36005033201,"Census Tract 332.01, Bronx County, New York",2362,131,437,1794
1400000US36005033202,"Census Tract 332.02, Bronx County, New York",1697,63,391,1243
1400000US36005033400,"Census Tract 334, Bronx County, New York",19,0,19,0
1400000US36005033500,"Census Tract 335, Bronx County, New York",768,92,416,260
